date,equity
2025-07-24 00:00:00+05:30,500000.0
2025-07-31 00:00:00+05:30,492645.34049608425
2025-08-07 00:00:00+05:30,485351.0274888893
2025-08-18 00:00:00+05:30,492241.44205052307
2025-08-26 00:00:00+05:30,485081.257094608
2025-09-04 00:00:00+05:30,494391.5976871043
2025-10-27 00:00:00+05:30,486884.1519378884
2025-11-04 00:00:00+05:30,482365.32606915064
2025-11-12 00:00:00+05:30,475258.37133919063
2025-11-25 00:00:00+05:30,468437.577436431
2025-12-08 00:00:00+05:30,475347.02882413013
2025-12-10 00:00:00+05:30,475347.02882413013
2026-01-27 00:00:00+05:30,467503.24905012874
2026-02-02 00:00:00+05:30,459756.8650982225
2026-02-10 00:00:00+05:30,466603.15189052623
2026-02-12 00:00:00+05:30,459250.702049317
2026-02-20 00:00:00+05:30,459186.0347267147
2026-02-25 00:00:00+05:30,451744.2352383448
2026-03-02 00:00:00+05:30,470323.0381016881
2026-03-06 00:00:00+05:30,490554.6949092518
2026-03-10 00:00:00+05:30,482582.1873366159
2026-03-12 00:00:00+05:30,483276.4675666909
2025-07-29 00:00:00+05:30,499122.5672029895
2025-08-07 00:00:00+05:30,500799.0236278149
2025-08-18 00:00:00+05:30,496642.7603765049
2025-08-20 00:00:00+05:30,488428.4147007811
2025-08-25 00:00:00+05:30,480449.9201816849
2025-09-02 00:00:00+05:30,487404.37340377487
2025-09-09 00:00:00+05:30,494973.10649134754
2025-10-31 00:00:00+05:30,495813.355705435
2025-11-10 00:00:00+05:30,494432.85240763135
2025-11-19 00:00:00+05:30,491922.6373537157
2025-11-27 00:00:00+05:30,493205.3063561944
2025-12-03 00:00:00+05:30,484428.27972623485
2025-12-10 00:00:00+05:30,490428.83728218084
2026-01-28 00:00:00+05:30,483237.30470083375
2026-02-02 00:00:00+05:30,476073.87603489467
2026-02-04 00:00:00+05:30,493162.2927342256
2026-02-10 00:00:00+05:30,485398.68055820017
2026-02-13 00:00:00+05:30,505832.41330699035
2026-02-18 00:00:00+05:30,497212.3450948946
2026-02-24 00:00:00+05:30,488614.19261756993
2026-03-02 00:00:00+05:30,480008.5460079466
2026-03-09 00:00:00+05:30,471418.88881313254
2026-03-11 00:00:00+05:30,462732.1896946537
2026-03-12 00:00:00+05:30,462732.1896946537
2025-07-31 00:00:00+05:30,464804.9499019307
2025-08-11 00:00:00+05:30,465644.9531508614
2025-08-19 00:00:00+05:30,470656.19745152816
2025-08-22 00:00:00+05:30,464368.2155446177
2025-08-26 00:00:00+05:30,458088.1170325245
2025-09-02 00:00:00+05:30,451736.0983932706
2025-09-08 00:00:00+05:30,445450.17370338057
2025-09-09 00:00:00+05:30,445450.17370338057
2025-10-30 00:00:00+05:30,450152.8185234379
2025-11-07 00:00:00+05:30,452432.5350436909
2025-11-17 00:00:00+05:30,457970.1749872342
2025-11-25 00:00:00+05:30,456747.3102286054
2025-12-02 00:00:00+05:30,450900.9036415672
2025-12-10 00:00:00+05:30,447554.85705670447
2026-02-02 00:00:00+05:30,440323.7099862665
2026-02-13 00:00:00+05:30,433255.1772626234
2026-02-20 00:00:00+05:30,426250.5332589888
2026-02-25 00:00:00+05:30,419342.721405839
2026-03-04 00:00:00+05:30,437018.4740222077
2026-03-09 00:00:00+05:30,429386.2146501502
2026-03-12 00:00:00+05:30,437827.8591532299
2025-07-28 00:00:00+05:30,456100.0279720589
2025-08-05 00:00:00+05:30,472190.1996168205
2025-08-14 00:00:00+05:30,463520.11759745947
2025-08-20 00:00:00+05:30,455054.28095139196
2025-08-25 00:00:00+05:30,447079.6471693686
2025-09-02 00:00:00+05:30,456111.2621105152
2025-09-09 00:00:00+05:30,456111.2621105152
2025-11-03 00:00:00+05:30,461871.391043782
2025-11-11 00:00:00+05:30,481505.4162484571
2025-11-20 00:00:00+05:30,483160.62583225704
2025-11-24 00:00:00+05:30,472274.6700612325
2025-11-27 00:00:00+05:30,461533.8741299945
2025-12-04 00:00:00+05:30,451241.769503397
2025-12-10 00:00:00+05:30,458525.28431060334
2026-01-29 00:00:00+05:30,459627.83984847076
2026-02-03 00:00:00+05:30,478603.95696713973
2026-02-06 00:00:00+05:30,470158.73232704686
2026-02-13 00:00:00+05:30,460965.86748947663
2026-02-23 00:00:00+05:30,451734.27991765173
2026-03-04 00:00:00+05:30,463032.0725934981
2026-03-11 00:00:00+05:30,453422.5017708845
2026-03-12 00:00:00+05:30,453422.5017708845
2025-07-25 00:00:00+05:30,447348.76201738574
2025-08-04 00:00:00+05:30,446535.01440554415
2025-08-07 00:00:00+05:30,440438.3846564456
2025-08-11 00:00:00+05:30,434418.63823073206
2025-08-19 00:00:00+05:30,439606.6984388732
2025-08-25 00:00:00+05:30,433754.04095348204
2025-09-02 00:00:00+05:30,431633.2222037589
2025-09-09 00:00:00+05:30,429879.36815904215
2025-10-27 00:00:00+05:30,426035.8993304472
2025-10-29 00:00:00+05:30,422303.3653074837
2025-10-31 00:00:00+05:30,418619.7674582502
2025-11-04 00:00:00+05:30,415027.31907377567
2025-11-13 00:00:00+05:30,417943.1786820946
2025-11-17 00:00:00+05:30,414423.79641731805
2025-11-19 00:00:00+05:30,410950.5575093904
2025-11-26 00:00:00+05:30,407538.35801087285
2025-12-01 00:00:00+05:30,404145.6767883349
2025-12-05 00:00:00+05:30,400682.3629166573
2026-01-29 00:00:00+05:30,416305.99851068266
2026-02-05 00:00:00+05:30,410024.5812375948
2026-02-09 00:00:00+05:30,403850.70453398995
2026-02-11 00:00:00+05:30,398182.76684918907
2026-02-16 00:00:00+05:30,392820.7436001866
2026-02-23 00:00:00+05:30,387622.47610877675
2026-03-02 00:00:00+05:30,400342.39019478584
2026-03-05 00:00:00+05:30,394869.121346172
2026-03-09 00:00:00+05:30,389321.90419447684
2026-03-11 00:00:00+05:30,383701.15553904226
2026-03-12 00:00:00+05:30,383701.15553904226
2025-07-25 00:00:00+05:30,380032.0460402051
2025-08-01 00:00:00+05:30,376362.9131760568
2025-08-07 00:00:00+05:30,372714.7497909102
2025-08-18 00:00:00+05:30,381880.0078509842
2025-08-26 00:00:00+05:30,378216.5819008808
2025-09-09 00:00:00+05:30,380566.35303598124
2025-10-29 00:00:00+05:30,377722.8067225941
2025-11-06 00:00:00+05:30,383096.4680175618
2025-11-17 00:00:00+05:30,389674.05501503486
2025-11-25 00:00:00+05:30,386780.47805464565
2025-12-02 00:00:00+05:30,383925.11815885553
2025-12-08 00:00:00+05:30,381088.79721882206
2025-12-10 00:00:00+05:30,379884.59945742285
2026-02-02 00:00:00+05:30,387556.6100147492
2026-02-06 00:00:00+05:30,384472.65567564353
2026-02-16 00:00:00+05:30,392059.96745256794
2026-02-24 00:00:00+05:30,396643.4543340522
2026-02-27 00:00:00+05:30,393458.5961825481
2026-03-09 00:00:00+05:30,390168.1863881135
2026-03-12 00:00:00+05:30,386821.4000051606
2026-03-13 00:00:00+05:30,386821.4000051606
2025-07-25 00:00:00+05:30,382992.915696299
2025-08-04 00:00:00+05:30,379126.2507616861
2025-08-13 00:00:00+05:30,377554.63555313647
2025-08-22 00:00:00+05:30,373718.938227944
2025-08-28 00:00:00+05:30,369832.64669702144
2025-09-05 00:00:00+05:30,372995.72594975325
2025-09-10 00:00:00+05:30,375398.76791173365
2025-10-27 00:00:00+05:30,372179.67321970954
2025-11-04 00:00:00+05:30,374654.20137386135
2025-11-13 00:00:00+05:30,380042.1786262545
2025-11-18 00:00:00+05:30,376828.81863835186
2025-11-26 00:00:00+05:30,374843.36723009293
2025-12-04 00:00:00+05:30,377658.2804925442
2025-12-11 00:00:00+05:30,381242.6495011485
2026-01-29 00:00:00+05:30,377736.3713804784
2026-02-06 00:00:00+05:30,374321.89782901126
2026-02-16 00:00:00+05:30,370935.39348101104
2026-02-24 00:00:00+05:30,371703.6483697018
2026-02-27 00:00:00+05:30,368395.8482090848
2026-03-04 00:00:00+05:30,365043.63018375426
2026-03-12 00:00:00+05:30,361495.4164065366
